annee,diplome,situation,remarque,disca,part_femmes,age_moyen_a_la_soutenance,part_docteurs_etrangers,eff_rep,taux_rep,part_docteurs_declarant_avoir_ete_finances_pour_realiser_la_these,taux_insertion,part_stable,part_cadre,part_temps_plein,part_secteur_academique,part_public_hors_secteur_academique,part_r_d_privee,part_privee_hors_secteur_academique_et_r_d,part_docteurs_en_emploi_a_l_etranger,part_docteurs_en_emploi_dans_la_meme_region_que_leur_etablissement,sal_net_q1_mensuel,sal_net_med_mensuel,sal_net_q3_mensuel,sal_brut_med_annuel,lib_etablissement_2014,numero_uai_ori,lib_etablissement_2020,numero_uai_2020
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,0,33,0,4,100,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,MONTPELLIER 1 (fermé),0341087X,U MONTPELLIER,0342321N
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,46,32,15,23,56,100,77,81,76,80,61,10,10,19,27,41,1851,1955,1983,27600,MONTPELLIER SUPAGRO,0342222F,MONTPELLIER SUPAGRO,0342222F
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,39,31,9,35,76,77,97,42,90,91,70,22,5,3,32,40,1954,2385,4114,33672,RENNES 1,0350936C,RENNES 1,0350936C
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,2,66,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,AGROCAMPUS OUEST,0352692L,AGROCAMPUS OUEST,0352692L
2014,DOCTORAT,36 mois après le diplôme,,Sciences et leurs interactions,28,29,49,320,62,90,93,72,94,97,40,7,27,26,33,34,2263,2520,2793,38380,COMUE GRENOBLE ALPES (fermé),0383412C,UNIVERSITE GRENOBLE ALPES,0383546Y
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,58,35,47,54,65,55,87,66,78,89,37,43,5,15,34,42,1763,2316,2520,32699,COMUE GRENOBLE ALPES (fermé),0383412C,UNIVERSITE GRENOBLE ALPES,0383546Y
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,15,29,51,35,64,91,95,69,97,100,65,15,17,2,49,13,2160,2468,2774,36708,EC. CENTRALE NANTES,0440100V,EC. CENTRALE NANTES,0440100V
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,61,30,17,45,62,92,89,39,87,100,60,13,7,20,36,31,1964,2499,3258,35277,NANTES,0440984F,NANTES,0440984F
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,48,37,35,17,55,64,100,76,94,94,80,4,0,16,42,23,1851,2125,3258,30000,NANTES,0440984F,NANTES,0440984F
2014,DOCTORAT,36 mois après le diplôme,,Sciences et leurs interactions,31,30,48,211,76,88,95,69,95,97,55,7,23,15,48,21,2034,2338,2697,35240,LORRAINE,0542493S,LORRAINE,0542493S
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,63,37,44,41,63,40,91,61,74,75,29,47,6,17,21,41,1536,2064,2333,29142,LORRAINE,0542493S,LORRAINE,0542493S
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,67,34,50,17,63,52,93,79,100,71,50,32,0,18,53,42,1530,2489,3086,35136,LORRAINE,0542493S,LORRAINE,0542493S
2014,DOCTORAT,36 mois après le diplôme,,Sciences et leurs interactions,31,29,43,142,68,90,93,69,95,99,50,8,22,20,32,0,2057,2250,2520,33209,LILLE 1 (fermé),0593559Y,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,nd,nd,nd,2,100,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LILLE 1 (fermé),0593559Y,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,50,33,40,23,64,51,100,65,100,85,71,8,10,11,44,0,2160,2211,2330,31218,LILLE 1 (fermé),0593559Y,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,48,31,22,46,69,68,98,56,94,100,69,10,6,14,31,0,2108,2363,3703,37812,LILLE 2 (fermé),0593560Z,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,33,30,39,15,83,94,100,76,100,100,64,24,12,0,28,0,1851,2211,2800,31218,LITTORAL,0595964M,LITTORAL,0595964M
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,17,37,67,5,83,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ARTOIS,0623957P,ARTOIS,0623957P
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,nd,nd,nd,1,33,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,INSA LYON,0690192J,INSA LYON,0690192J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,62,37,22,56,61,43,78,72,80,76,47,34,2,17,50,24,2054,2338,2567,33000,LYON 2,0691775E,LYON 2,0691775E
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,65,39,16,31,54,39,81,81,87,87,49,40,0,11,42,28,2218,2479,2663,35000,LYON 2,0691775E,LYON 2,0691775E
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,18,29,35,12,70,100,100,69,100,92,45,32,23,0,35,27,1954,2408,2621,34000,ENTPE LYON,0692566P,ENTPE LYON,0692566P
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,30,28,26,33,73,91,91,52,94,100,66,29,2,2,43,6,2142,2346,2692,33120,ENS LYON,0694123G,ENS LYON,0694123G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,1,33,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LE MANS,0720916E,LE MANS,0720916E
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,nd,nd,nd,2,12,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ENSTA PARIS (fermé),0751878J,ENSTA PARISTECH,0912318A
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,50,31,29,7,50,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ENSM PARIS,0753493P,ENSM PARIS,0753493P
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,35,29,67,47,52,98,100,78,92,100,35,2,30,32,50,34,2314,2688,2993,41100,TELECOM PARISTECH (fermé),0753510H,TELECOM PARIS,0912407X
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,33,28,25,14,58,82,90,77,90,100,33,0,40,27,13,17,2250,2394,2816,38304,INSA ROUEN,0760165S,INSA ROUEN,0760165S
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,68,31,29,13,52,46,82,88,85,89,49,11,19,21,11,77,2057,3125,4463,50000,COMUE PARIS EST,0772710C,COMUE PARIS EST,0772710C
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,nd,nd,nd,1,8,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,VERSAILLES ST-QUENT.,0781944P,VERSAILLES ST-QUENT.,0781944P
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,nd,nd,nd,3,10,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,VERSAILLES ST-QUENT.,0781944P,VERSAILLES ST-QUENT.,0781944P
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,2,40,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,TOULON,0830766G,TOULON,0830766G
2014,DOCTORAT,36 mois après le diplôme,,Sciences et leurs interactions,31,29,49,205,56,88,91,61,94,99,48,12,20,20,33,49,2250,2500,2983,38400,PARIS 11,0911101C,PARIS 11,0911101C
2014,DOCTORAT,36 mois après le diplôme,,Sciences du vivant,63,30,33,141,65,87,90,42,91,95,57,17,12,13,34,50,2057,2366,3125,33396,PARIS 11,0911101C,PARIS 11,0911101C
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,56,35,33,7,39,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,PARIS 11,0911101C,PARIS 11,0911101C
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,2,25,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ESSEC-CERGY,0951214D,ESSEC-CERGY,0951214D
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,63,nd,nd,18,47,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ANTILLES,9710585J,ANTILLES,9710585J
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,49,30,15,17,44,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,NICE (fermé),0060931E,UNIVERSITE COTE AZUR,0062205P
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,28,28,43,35,60,89,89,58,100,95,52,8,20,20,14,nd,1954,2313,2479,33832,CAEN,0141408E,CAEN,0141408E
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,61,38,31,21,58,47,96,73,96,90,13,83,0,4,14,nd,1800,2160,2380,31920,CAEN,0141408E,CAEN,0141408E
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,50,36,67,7,58,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,CAEN,0141408E,CAEN,0141408E
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,45,29,43,28,70,86,81,35,100,100,68,3,17,11,29,nd,1646,2057,2594,29040,LA ROCHELLE,0171463Y,LA ROCHELLE,0171463Y
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,3,37,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,LA ROCHELLE,0171463Y,LA ROCHELLE,0171463Y
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,22,31,55,43,54,84,77,49,97,100,57,13,5,25,27,nd,1748,1954,2219,28024,BESANCON,0251215K,BESANCON,0251215K
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,75,40,31,9,56,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,BREST,0290346U,BREST,0290346U
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,33,30,67,6,66,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,TOULOUSE 1,0311382J,TOULOUSE 1,0311382J
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,46,32,52,40,53,45,100,55,85,81,50,14,3,33,27,nd,1697,2206,2880,31148,TOULOUSE 1,0311382J,TOULOUSE 1,0311382J
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,35,30,44,143,56,90,84,56,91,96,43,13,15,30,33,nd,1969,2195,2431,33696,TOULOUSE 3,0311384L,TOULOUSE 3,0311384L
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,48,28,14,13,62,77,74,41,100,100,58,0,21,21,25,nd,1771,2261,2550,36168,ENS CHIM. MONTPELLIER,0340112M,ENS CHIM. MONTPELLIER,0340112M
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,0,33,0,4,100,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,MONTPELLIER 1 (fermé),0341087X,U MONTPELLIER,0342321N
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,58,33,35,52,61,41,73,68,92,88,57,21,0,22,26,nd,1771,2494,2715,38333,MONTPELLIER 1 (fermé),0341087X,U MONTPELLIER,0342321N
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,30,29,51,104,67,95,86,50,93,92,60,6,19,15,45,nd,2087,2335,2500,34000,RENNES 1,0350936C,RENNES 1,0350936C
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,68,35,40,35,70,44,77,58,77,77,31,41,6,22,20,nd,1417,1659,1925,23424,TOURS,0370800U,TOURS,0370800U
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,25,30,58,22,55,82,87,62,100,100,46,11,18,26,23,nd,1983,2188,2813,35000,SAINT-ETIENNE,0421095M,SAINT-ETIENNE,0421095M
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,54,36,39,20,49,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,NANTES,0440984F,NANTES,0440984F
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,48,37,35,17,55,64,96,82,94,96,76,5,5,15,40,nd,1337,1983,2550,28000,NANTES,0440984F,NANTES,0440984F
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,100,34,50,6,50,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ONIRIS NANTES ATLANTIQUE,0442674T,ONIRIS NANTES ATLANTIQUE,0442674T
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,nd,nd,nd,3,100,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,BRETAGNE-SUD,0561718N,BRETAGNE-SUD,0561718N
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,56,34,24,25,78,48,74,65,100,67,57,24,0,20,20,nd,1491,1707,2417,24103,LILLE 2 (fermé),0593560Z,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,62,37,22,40,66,33,94,67,87,80,36,46,2,16,7,nd,1543,1543,2180,21780,LILLE 3 (fermé),0593561A,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,2,100,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,LILLE 3 (fermé),0593561A,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,33,30,39,15,83,94,92,53,100,100,69,13,0,18,35,nd,1895,2057,2261,30324,LITTORAL,0595964M,LITTORAL,0595964M
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,69,39,34,22,76,48,83,54,76,84,50,37,0,13,39,nd,1488,1488,1659,21000,PAU,0640251A,PAU,0640251A
2014,DOCTORAT,12 mois après le diplôme,,Sciences et leurs interactions,38,29,44,114,71,90,84,42,95,96,63,11,16,10,51,nd,2057,2249,2438,31920,UNIVERSITE DE STRASBOURG,0673021V,UNIVERSITE DE STRASBOURG,0673021V
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,19,29,41,25,52,91,92,78,100,89,24,9,54,13,20,nd,1881,2438,3000,36000,EC. CENTRALE LYON,0690187D,EC. CENTRALE LYON,0690187D
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,39,29,44,91,57,87,91,45,100,98,36,14,32,17,30,nd,2000,2188,2438,33000,LYON 1,0691774D,LYON 1,0691774D
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,18,29,35,12,70,100,100,51,100,91,56,22,13,8,21,nd,2125,2267,2267,32000,ENTPE LYON,0692566P,ENTPE LYON,0692566P
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,46,33,15,11,84,38,88,46,76,100,54,46,0,0,32,nd,2057,2077,2385,29319,LE MANS,0720916E,LE MANS,0720916E
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,1,33,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,LE MANS,0720916E,LE MANS,0720916E
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,44,34,39,28,29,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,PARIS 2,0751718K,PARIS 2,0751718K
